code;libellé;description;type;format;minimum;maximum;enum;granularity;constraint;reference
H442;actions_in_situ_projection_tout_public;Actions au sein de l'établissement - Pour tout public - Projection;integer;default;;;;;;
H443;actions_in_situ_projection_enfants;Actions au sein de l'établissement - Pour enfants - Projection;integer;default;;;;;;
H444;actions_in_situ_projection_nb_participants;Actions au sein de l'établissement - Nombre de participants - Projection;integer;default;;;;;;
H445;actions_in_situ_club_lecture;Actions au sein de l'établissement - Clubs de lecteurs;boolean;default;;;;;;
H446;actions_in_situ_club_lecture_tout_public;Actions au sein de l'établissement - Pour tout public - Clubs de lecteurs;integer;default;;;;;;
H447;actions_in_situ_club_lecture_enfants;Actions au sein de l'établissement - Pour enfants - Clubs de lecteurs;integer;default;;;;;;
H448;actions_in_situ_club_lecture_nb_participants;Actions au sein de l'établissement - Nombre de participants - Clubs de lecteurs;integer;default;;;;;;
H449;actions_in_situ_ateliers_ecriture;Actions au sein de l'établissement - Ateliers d'écriture;boolean;default;;;;;;
H450;actions_in_situ_ateliers_ecriture_pour_tous_pu;Actions au sein de l'établissement - Pour tout public - Ateliers d'écriture;integer;default;;;;;;
H451;actions_in_situ_ateliers_ecriture_pour_enfants;Actions au sein de l'établissement - Pour enfants - Ateliers d'écriture;integer;default;;;;;;
H452;actions_in_situ_ateliers_ecriture_nb_participants;Actions au sein de l'établissement - Nombre de participants - Ateliers d'écriture;integer;default;;;;;;
H453;actions_in_situ_jeux_video_sur_place;Actions au sein de l'établissement - Jeux vidéo sur place;boolean;default;;;;;;
H454;actions_in_situ_jeux_video_sur_place_tout_public;Actions au sein de l'établissement - Pour tout public - Jeux vidéo sur place;integer;default;;;;;;
H455;actions_in_situ_jeux_video_sur_place_enfants;Actions au sein de l'établissement - Pour enfants - Jeux vidéo sur place;integer;default;;;;;;
H456;actions_in_situ_jeux_video_sur_place_nb_participants;Actions au sein de l'établissement - Nombre de participants - Jeux vidéo sur place;integer;default;;;;;;
H457;actions_in_situ_jeux_de_societe_sur_place;Actions au sein de l'établissement - Jeux de société sur place;boolean;default;;;;;;
H458;actions_in_situ_jeux_de_societe_sur_place_tout_public;Actions au sein de l'établissement - Pour tout public - Jeux de société sur place;integer;default;;;;;;
H459;actions_in_situ_jeux_de_societe_sur_place_enfants;Actions au sein de l'établissement - Pour enfants - Jeux de société sur place;integer;default;;;;;;
H460;actions_in_situ_jeux_de_societe_sur_place_nb_participants;Actions au sein de l'établissement - Nombre de participants - Jeux de société sur place;integer;default;;;;;;
H461;actions_in_situ_ateliers;Actions au sein de l'établissement - Ateliers;boolean;default;;;;;;
H462;actions_in_situ_ateliers_tout_public;Actions au sein de l'établissement - Pour tout public - Ateliers;integer;default;;;;;;
H463;actions_in_situ_ateliers_enfants;Actions au sein de l'établissement - Pour enfants - Ateliers;integer;default;;;;;;
H464;actions_in_situ_ateliers_nb_participants;Actions au sein de l'établissement - Nombre de participants - Ateliers;integer;default;;;;;;
H465;actions_in_situ_mediation_numerique;Actions au sein de l'établissement - Médiation numérique;boolean;default;;;;;;
H466;actions_in_situ_mediation_numerique_tout_public;Actions au sein de l'établissement - Pour tout public - Médiation numérique;integer;default;;;;;;
H467;actions_in_situ_mediation_numerique_enfants;Actions au sein de l'établissement - Pour enfants - Médiation numérique;integer;default;;;;;;
H468;actions_in_situ_mediation_numerique_nb_participants;Actions au sein de l'établissement - Nombre de participants - Médiation numérique;integer;default;;;;;;
H469;actions_in_situ_escape_game;Actions au sein de l'établissement - Escape Game;boolean;default;;;;;;
H470;actions_in_situ_escape_game_tout_public;Actions au sein de l'établissement - Pour tout public - Escape Game;integer;default;;;;;;
H471;actions_in_situ_escape_game_enfants;Actions au sein de l'établissement - Pour enfants - Escape Game;integer;default;;;;;;
H472;actions_in_situ_escape_game_nb_participants;Actions au sein de l'établissement - Nombre de participants - Escape Game;integer;default;;;;;;
H473;actions_in_situ_formation_vie;Actions au sein de l'établissement - Formation tout au long de la vie;boolean;default;;;;;;
H474;actions_in_situ_formation_vie_tout_public;Actions au sein de l'établissement - Pour tout public - Formation tout au long de la vie;integer;default;;;;;;
H475;actions_in_situ_formation_vie_enfants;Actions au sein de l'établissement - Pour enfants - Formation tout au long de la vie;integer;default;;;;;;
H476;actions_in_situ_formation_vie_nb_participants;Actions au sein de l'établissement - Nombre de participants - Formation tout au long de la vie;integer;default;;;;;;
H477;actions_in_situ_propositions_en_libre_acces;Actions au sein de l'établissement - Propositions en libre accès;boolean;default;;;;;;
H478;actions_in_situ_propositions_en_libre_acces_tout_public;Actions au sein de l'établissement - Pour tout public - Propositions en libre accès;integer;default;;;;;;
H479;actions_in_situ_propositions_en_libre_acces_enfants;Actions au sein de l'établissement - Pour enfants - Propositions en libre accès;integer;default;;;;;;
H480;actions_in_situ_emi;Actions au sein de l'établissement - Education aux médias et à l'information (EMI);boolean;default;;;;;;
H481;actions_in_situ_emi_tout_public;Actions au sein de l'établissement - Pour tout public - EMI;integer;default;;;;;;
H482;actions_in_situ_emi_enfants;Actions au sein de l'établissement - Pour enfants - EMI;integer;default;;;;;;
H483;actions_in_situ_emi_nb_participants;Actions au sein de l'établissement - Nombre de participants - EMI;integer;default;;;;;;
H484;actions_in_situ_ateliers_participatifs;Actions au sein de l'établissement - Ateliers participatifs;boolean;default;;;;;;
H485;actions_in_situ_ateliers_participatifs_tout_public;Actions au sein de l'établissement - Pour tout public - Ateliers participatifs;integer;default;;;;;;
H486;actions_in_situ_ateliers_participatifs_enfants;Actions au sein de l'établissement - Pour enfants - Ateliers participatifs;integer;default;;;;;;
H487;actions_in_situ_spectacles;Actions au sein de l'établissement - Animations dont - Spectacles;integer;default;;;;;;
H488;actions_in_situ_spectacles_tout_public;Actions au sein de l'établissement - Animations dont - Pour tout public - Spectacles;integer;default;;;;;;
H489;actions_in_situ_spectacles_enfants;Actions au sein de l'établissement - Animations dont - Pour enfants - Spectacles;integer;default;;;;;;
H501;actions_hors_les_murs;Actions hors de l'établissement - Actions hors les murs;boolean;default;;;;;;
H502;actions_hors_les_murs_nb_actions;Actions hors de l'établissement - Actions hors les murs - Nombre d'actions;integer;default;;;;;;
H504;actions_hors_les_murs_portage;Actions hors de l'établissement - Portage à domicile;boolean;default;;;;;;
H505;actions_hors_les_murs_portage_nb_actions;Actions hors de l'établissement - Portage à domicile - Nombre d’actions;integer;default;;;;;;
H506;actions_hors_les_murs_portage_nb_participants;Actions hors de l'établissement - Portage à domicile - Nombre de participants;integer;default;;;;;;
H601;actions_cooperation_locale;Actions de coopération - Coopération locale;boolean;default;;;;;;
H604;actions_cooperation_nationale;Actions de coopération - Coopération nationale;boolean;default;;;;;;
H607;actions_cooperation_internationale;Actions de coopération - Coopération internationale;boolean;default;;;;;;
H611;actions_cooperation_locale_catalogue;Actions de coopération - Coopération locale - Catalogue commun;boolean;default;;;;;;
H612;actions_cooperation_locale_portail;Actions de coopération - Coopération locale - Portail documentaire commun;boolean;default;;;;;;
H613;actions_cooperation_locale_poldoc;Actions de coopération - Coopération locale - Politique documentaire commune;boolean;default;;;;;;
H614;actions_cooperation_locale_navette;Actions de coopération - Coopération locale - Navette documentaire;boolean;default;;;;;;
H615;actions_cooperation_locale_carte_unique;Actions de coopération - Coopération locale - Carte unique de lecteur;boolean;default;;;;;;
H616;actions_cooperation_locale_autre;Actions de coopération - Coopération locale - Autre action de coopération intercommunale;boolean;default;;;;;;
H617;actions_cooperation_locale_action_culturelle;Actions de coopération - Coopération locale - Action culturelle commune;boolean;default;;;;;;
H618;actions_cooperation_intercommunale;Actions de coopération - Coopération intercommunale;boolean;default;;;;;;
H619;actions_cooperation_hors_epci;Actions de coopération - Coopération avec d'autres bibliothèques hors EPCI;boolean;default;;;;;;
H620;actions_cooperation_bd_hors_convention;Actions de coopération - Coopération avec la bibliothèque départementale hors convention;boolean;default;;;;;;
H704;actions_handicap;Actions et services à destination de publics à besoins spécifiques - Personnes en situation de handicap;boolean;default;;;;;;
H706;actions_handicap_nb_participants;Actions et services à destination de publics à besoins spécifiques - Personnes en situation de handicap - Nombre de participants;integer;default;;;;;;
H713;actions_emploi;Actions et services à destination de publics à besoins spécifiques - Personnes en recherche d'emploi;boolean;default;;;;;;
H714;actions_emploi_nb_actions;Actions et services à destination de publics à besoins spécifiques - Personnes en recherche d'emploi - Nombre d'actions;integer;default;;;;;;
H715;actions_emploi_nb_participants;Actions et services à destination de publics à besoins spécifiques - Personnes en recherche d'emploi - Nombre de participants;integer;default;;;;;;
H716;actions_illettrisme;Actions et services à destination de publics à besoins spécifiques - Personnes en situation illettrisme;boolean;default;;;;;;
H717;actions_illettrisme_nb_actions;Actions et services à destination de publics à besoins spécifiques - Personnes en situation illettrisme - Nombre d'actions;integer;default;;;;;;
H718;actions_illettrisme_nb_participants;Actions et services à destination de publics à besoins spécifiques - Personnes en situation illettrisme - Nombre de participants;integer;default;;;;;;
H719;actions_non_francophones;Actions et services à destination de publics à besoins spécifiques - Populations non francophones;boolean;default;;;;;;
H721;actions_non_francophones_nb_participants;Actions et services à destination de publics à besoins spécifiques -Populations non francophones - Nombre de participants;integer;default;;;;;;
H725;actions_insertion;Actions et services à destination de publics à besoins spécifiques -Population en situation d’insertion sociale;boolean;default;;;;;;
H726;actions_insertion_nb_actions;Actions et services à destination de publics à besoins spécifiques -Population en situation d’insertion sociale - Nombre d'actions;integer;default;;;;;;
H727;actions_insertion_pop;Actions et services à destination de publics à besoins spécifiques -Population en situation d’insertion sociale - Nombre de participants;integer;default;;;;;;
H729;actions_handicap_nb_actions_tout_public;Nombre d'actions - Pour tout public - Personnes en situation de handicap;integer;default;;;;;;
H730;actions_handicap_nb_actions_enfants;Nombre d'actions - Pour enfants - Personnes en situation de handicap;integer;default;;;;;;
H731;actions_illectronisme;Actions et services à destination de publics à besoins spécifiques - Personnes en situation d'illectronisme;boolean;default;;;;;;
H732;actions_illectronisme_nb_actions;Actions et services à destination de publics à besoins spécifiques - Nombre d'actions - Personnes en situation d'illectronisme;integer;default;;;;;;
H733;actions_illectronisme_nb_participants;Actions et services à destination de publics à besoins spécifiques - Nombre de participants - Personnes en situation d'illectronisme;integer;default;;;;;;
H734;actions_non_francophones_nb_actions_tout_public;Nombre d'actions - Pour tout public - Populations non francophones;integer;default;;;;;;
H735;actions_non_francophones_nb_actions_enfants;Nombre d'actions - Pour enfants - Populations non francophones;integer;default;;;;;;
H736;actions_public_justice;Actions et services à destination de publics à besoins spécifiques - Publics sous main de justice;boolean;default;;;;;;
H737;actions_public_justice_nb_actions;Nombre d'actions - Pour tout public - Publics sous main de justice;integer;default;;;;;;
H738;actions_public_justice_nb_actions_enfants;Nombre d'actions - Pour enfants - Publics sous main de justice;integer;default;;;;;;
H739;actions_public_justice_nb_participants;Actions et services à destination de publics à besoins spécifiques - Nombre de participants - Publics sous main de justice;integer;default;;;;;;
H740;actions_pers_hospitalisees;Actions et services à destination de publics à besoins spécifiques - Personnes hospitalisées;boolean;default;;;;;;
H741;actions_pers_hospitalisees_nb_actions;Nombre d'actions - Pour tout public - Personnes hospitalisées;integer;default;;;;;;
H742;actions_pers_hospitalisees_nb_actions_enfants;Nombre d'actions - Pour enfants - Personnes hospitalisées;integer;default;;;;;;
H743;actions_pers_hospitalisees_nb_participants;Actions et services à destination de publics à besoins spécifiques - Nombre de participants - Personnes hospitalisées;integer;default;;;;;;
H801;salle_travail_groupe;Services physiques de la bibliothèque - Salle(s) de travail en groupe;boolean;default;;;;;;
H802;auditorium;Services physiques de la bibliothèque - Auditorium;boolean;default;;;;;;
H803;salle_spectacle;Services physiques de la bibliothèque - Salle de spectacle;boolean;default;;;;;;
H804;fablab;Services physiques de la bibliothèque - Fablab;boolean;default;;;;;;
H805;cafetaria;Services physiques de la bibliothèque - Cafétéria;boolean;default;;;;;;
H806;grainotheque;Services physiques de la bibliothèque - Grainothèque;boolean;default;;;;;;
H807;artotheque;Services physiques de la bibliothèque - Artothèque;boolean;default;;;;;;
H808;boite_de_retour;Services physiques de la bibliothèque - Boite de retour;boolean;default;;;;;;
H809;ludotheque;Services physiques de la bibliothèque - Ludothèque;boolean;default;;;;;;
H810;studio;Services physiques de la bibliothèque – Studio de répétition ou d’enregistrement;boolean;default;;;;;;
I101;commentaires;Commentaires sur les données d’activité du réseau;string;default;;;;;;
J201;gratuite_services;Inscription et tarifs - L'inscription et le prêt sont-ils gratuits pour tous les usagers ?;boolean;default;;;;;;
insee;code_insee;Code insee de la commune;string;default;;;;;;
Département;departement;Département de la commune;string;default;;;;;;
Région;region;Région de la commune;string;default;;;;;;
Code EPCI;code_epci;Code de l’EPCI;integer;default;;;;;;
Libellé EPCI;epci;Libellé de l’EPCI;string;default;;;;;;
Date dernière modification;date_modification;Date de dernière modification des données;date;default;;;;quotidien;;
Taux de complétude;taux_completude;Taux de complétude;integer;default;;;;;;
Année des données;annee_donnees;Année des données collectées;date;default;;;;annuel;;
